Plant Name,Other Names,Plant Type,Plant Size,Growing Zones,Rainfall,Summer Rainfall,Sun,Moisture,Soil,Coldest Month,Hottest Month,Cold Tolerance,Humidity,Elevation,Uses,Flower Color,Ease of Care,Sightings,Image,Calscape url
Trifolium ciliolatum,Common Names: Tree Clover,Annual herb,,,"6.0"" - 64.9""","0.14"" - 2.84""",Full Sun,Low,," 31.9"" - 56.3"""," 57.2"" - 81.3""",,"0.32"" - 33.87""","-247"" - 6255""",Bee Gardens,,,260,https://inaturalist-open-data.s3.amazonaws.com/photos/18933/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Trifolium-ciliolatum-(Foothill-Clover)?srchcr=sc61ab02a7440fe"
Bolboschoenus maritimus ssp. paludosus,,Grasses,5 ft tall,,"2.5"" - 72.2""","0.15"" - 1.77""",Full Sun,Moderate - High,," 34.2"" - 59.2"""," 58.1"" - 89.4""",,"0.01"" - 41.74""","-231"" - 5659""",Bogs and Ponds,Brown,Moderately Easy,2134,https://inaturalist-open-data.s3.amazonaws.com/photos/12320174/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Bolboschoenus-maritimus-ssp.-paludosus-(Prairie-Rush)?srchcr=sc61ab02a7440fe"
Marsilea vestita,"Common Names: Hairy Pepperwort, Hairy Water-clover, Water Clover",Fern,1.1 ft tall,,"3.4"" - 71.8""","0.14"" - 2.72""",Full Sun,,," 25.6"" - 59.5"""," 56.9"" - 88.4""",,"0.44"" - 39.98""","-180"" - 6966""","Bogs and Ponds, Groundcovers, Bee Gardens",,Moderately Easy,826,https://inaturalist-open-data.s3.amazonaws.com/photos/5241652/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Marsilea-vestita-(Hairy-Waterclover)?srchcr=sc61ab02a7440fe"
Sanicula arguta,Common Names: Sharptooth Blacksnakeroot,Perennial herb,1.6 ft tall,,"5.7"" - 34.1""","0.14"" - 2.22""",,,," 39.4"" - 57.7"""," 60.4"" - 80.6""",,"0.80"" - 28.75""","-3814"" - 6914""",,Yellow,,477,https://static.inaturalist.org/photos/285415/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Sanicula-arguta-(Sharptooth-Sanicle)?srchcr=sc61ab02a7440fe"
Baccharis pilularis ssp. consanguinea,,Shrub,3.5 - 7 ft tall,"['USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)']","8.7"" - 94.5""","0.15"" - 2.55""",,,," 41.7"" - 57.2"""," 57.4"" - 77.9""",,"0.01"" - 26.17""","1"" - 4411""","Butterfly Gardens, Deer Resistant, Bee Gardens","Cream,  White",,19466,https://inaturalist-open-data.s3.amazonaws.com/photos/5362069/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Baccharis-pilularis-ssp.-consanguinea-(Coyote-Brush)?srchcr=sc61ab02a7440fe"
Castilleja exserta ssp. exserta,"Common Names: Common Owl's Clover, Exserted Indian Paintbrush, Purple Owl's Clover",Annual Herb,,,"4.9"" - 68.1""","0.14"" - 2.98""",,,," 36.4"" - 58.8"""," 57.6"" - 87.5""",,"0.44"" - 38.31""","0"" - 6129""","Butterfly Gardens, Bee Gardens","Lavender,  Purple",Moderately Easy,6761,https://static.inaturalist.org/photos/84994103/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Castilleja-exserta-ssp.-exserta-(Pale-Purple-Owlclover)?srchcr=sc61ab02a7440fe"
Hazardia squarrosa var. grindelioides,Botanical Names: Haplopappus squarosus ssp. grindelioides,Shrub,4 ft tall4 ft wide,,"9.9"" - 44.4""","0.14"" - 2.82""",Full Sun,"Very Low, Low","Tolerates a variety of soils, including clay and sand. Tolerates Serpentine Soil. Soil PH: 6.0 - 7.5"," 33.5"" - 56.8"""," 61.0"" - 80.0""",Tolerates cold to 15° F,"0.77"" - 28.33""","-30"" - 7419""",,"Orange,  Yellow",,2333,https://inaturalist-open-data.s3.amazonaws.com/photos/5386878/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Hazardia-squarrosa-var.-grindelioides-(Saw-Toothed-Goldenbush)?srchcr=sc61ab02a7440fe"
Antirrhinum coulterianum,Common Names: White Snapdragon Coulter's Snapdragon,Annual herb,0.39 - 4.9 ft tall,,"4.6"" - 47.1""","0.15"" - 3.08""","Full Sun,  Part Shade,  Full Shade",Very Low,," 30.5"" - 58.8"""," 59.9"" - 87.5""",,"0.79"" - 38.43""","7"" - 7455""","Hummingbird Gardens, Bee Gardens",White,Moderately Easy,550,https://inaturalist-open-data.s3.amazonaws.com/photos/116802/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Antirrhinum-coulterianum-(Coulter-Snapdragon)?srchcr=sc61ab02a7440fe"
Solanum americanum,Common Names: Common Nightshade,"Annual Herb, Perennial Herb, Shrub",2.6 - 4.9 ft tall,,"3.0"" - 68.8""","0.15"" - 3.25""",Full Sun,Moderate - High,," 38.0"" - 60.5"""," 57.9"" - 88.8""",,"0.35"" - 40.58""","-20"" - 6532""",Bird Gardens,"Yellow,  White,  Purple",,6280,https://inaturalist-open-data.s3.amazonaws.com/photos/15357804/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Solanum-americanum-(American-Black-Nightshade)?srchcr=sc61ab02a7440fe"
Epilobium ciliatum,"Common Names: American Willowherb, Fringed Willowherb, Northern Willow-herb, Slender Willow-herb",Perennial herb,1.6 - 6 ft tall,,"4.1"" - 158.0""","0.14"" - 5.80""",Full Sun,"Low, Moderate - High",," 19.0"" - 56.6"""," 42.2"" - 87.2""",,"0.01"" - 38.66""","-75"" - 12554""","Bird Gardens, Hummingbird Gardens","Pink,  White,  Purple",,9846,https://inaturalist-open-data.s3.amazonaws.com/photos/1235663/small.,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Epilobium-ciliatum-(Northern-Willow-Herb)?srchcr=sc61ab02a7440fe"
Malvella leprosa,"Common Names: Alkali Sida, Whiteweed",Perennial herb,0.33 - 1.3 ft tall,,"2.4"" - 48.5""","0.15"" - 2.58""",Full Sun,Low,," 33.0"" - 60.7"""," 63.0"" - 88.6""",,"0.70"" - 42.49""","-155"" - 6765""",Butterfly Gardens,"Yellow,  White",,1375,https://static.inaturalist.org/photos/7655097/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Malvella-leprosa-(Alkali-Mallow)?srchcr=sc61ab02a7440fe"
Erigeron foliosus,Common Names: Hartweg's Fleabane,Perennial herb,0.7 - 3.3 ft tall,,"4.1"" - 158.4""","0.14"" - 6.12""",Part Shade,,," 24.3"" - 57.7"""," 48.9"" - 86.2""",,"0.05"" - 37.09""","-3814"" - 10562""","Groundcovers, Bee Gardens","White,  Yellow",Moderately Easy,2003,https://inaturalist-open-data.s3.amazonaws.com/photos/16760/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Erigeron-foliosus-(Leafy-Fleabane)?srchcr=sc61ab02a7440fe"
Oenanthe sarmentosa,"Common Names: Water Parsely, Water Parsley",Perennial herb,5 ft tall,,"5.6"" - 88.1""","0.18"" - 2.95""",Full Sun,,," 33.7"" - 56.8"""," 57.5"" - 79.3""",,"0.02"" - 29.40""","-1"" - 6211""",Bogs and Ponds,"White,  Red",,2551,https://inaturalist-open-data.s3.amazonaws.com/photos/4183802/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Oenanthe-sarmentosa-(Pacific-Oenanthe)?srchcr=sc61ab02a7440fe"
Cryptantha muricata,Common Names: Pointed Cryptantha,Annual herb,4 - 6 in tall,,"3.9"" - 61.5""","0.14"" - 3.08""",Part Shade,,," 24.5"" - 59.6"""," 47.8"" - 87.9""",,"0.59"" - 38.77""","-3814"" - 10562""",Bee Gardens,White,,153,https://inaturalist-open-data.s3.amazonaws.com/photos/847012/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Cryptantha-muricata-(Prickly-Popcorn-Flower)?srchcr=sc61ab02a7440fe"
Salix lasiandra var. lasiandra,"Botanical Names: Salix lucida ssp. lasiandraCommon Names: Pacific Willow, Shining Willow","Tree, Shrub",33 - 53 ft tall,,"5.1"" - 113.2""","0.16"" - 3.99""",Part Shade,,," 11.1"" - 56.5"""," 34.4"" - 82.9""",,"0.02"" - 33.83""","-7"" - 14114""","Bird Gardens, Butterfly Gardens, Bee Gardens","Cream,  Yellow,  Green",Moderately Easy,1393,https://inaturalist-open-data.s3.amazonaws.com/photos/3469320/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Salix-lasiandra-var.-lasiandra-(Yellow-Willow)?srchcr=sc61ab02a7440fe"
Lepidium nitidum,"Common Names: Common Peppergrass, Shining Pepper-grass, Shining Pepperweed",Annual herb,1.3 ft tall,,"3.0"" - 71.7""","0.13"" - 2.96""",Full Sun,,," 26.3"" - 58.6"""," 52.7"" - 88.2""",,"0.44"" - 38.39""","-253"" - 8978""",,White,,1261,https://inaturalist-open-data.s3.amazonaws.com/photos/11686/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Lepidium-nitidum-(Peppergrass)?srchcr=sc61ab02a7440fe"
Horkelia cuneata,"Common Names: Wedge-leaf Horkelia, Wedge-leaved Horkelia, Wedgeleaf Horkelia",Perennial herb,0.7 - 2.3 ft tall,,"10.7"" - 58.6""","0.17"" - 2.11""",Full Sun,,," 22.6"" - 56.5"""," 45.9"" - 80.2""",,"0.41"" - 26.19""","2"" - 10260""","Groundcovers, Bee Gardens","Pink,  Red,  White",,464,https://static.inaturalist.org/photos/209362/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Horkelia-cuneata-(Wedge-Leaf-Horkelia)?srchcr=sc61ab02a7440fe"
Cyperus erythrorhizos,"Common Names: Red-root Flat Sedge, Redroot Flatsedge, Redroot Nutgrass",Grasses,2.5 - 3.3 ft tall,,"2.5"" - 64.8""","0.14"" - 2.02""",Full Sun,,Prefers sandy or loamy soils.  Does not grow well in clay soils.," 36.5"" - 60.1"""," 65.4"" - 88.6""",,"0.41"" - 40.17""","-165"" - 5342""",,Green,,488,https://inaturalist-open-data.s3.amazonaws.com/photos/25215239/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Cyperus-erythrorhizos-(Red-Rooted-Cyperus)?srchcr=sc61ab02a7440fe"
Lasthenia coronaria,,Annual herb,1.3 ft tall,,"6.7"" - 34.0""","0.14"" - 1.60""",Full Sun,,," 39.9"" - 56.7"""," 67.0"" - 84.1""",,"1.21"" - 35.02""","0"" - 4182""",,Yellow,,129,https://inaturalist-open-data.s3.amazonaws.com/photos/651526/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Lasthenia-coronaria-(Royal-Goldfields)?srchcr=sc61ab02a7440fe"
Nasturtium officinale,"Botanical Names: Rorippa nasturtium-aquaticumCommon Names: Water Cress, Water-cress",Perennial herb,,,"4.9"" - 121.0""","0.15"" - 3.57""",Full Sun,,," 23.8"" - 58.4"""," 44.6"" - 87.1""",,"0.03"" - 37.68""","-38"" - 10600""",Bogs and Ponds,"White,  Green",,10017,https://inaturalist-open-data.s3.amazonaws.com/photos/8412562/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Nasturtium-officinale-(Watercress)?srchcr=sc61ab02a7440fe"
Atriplex serenana,"Common Names: Bractscale, Leafscale, Stinking Orach",Annual herb,1 - 3.3 ft tall,,"2.6"" - 30.8""","0.15"" - 2.25""",Full Sun,,," 31.6"" - 61.4"""," 58.8"" - 88.8""",,"0.74"" - 42.79""","-185"" - 6472""",,Green,,27,https://inaturalist-open-data.s3.amazonaws.com/photos/18936667/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Atriplex-serenana-(Tractscale)?srchcr=sc61ab02a7440fe"
Atriplex argentea,"Common Names: Silver Orache, Silverscale Saltbush, Silverscale Saltweed",Annual herb,0.49 - 2.6 ft tall,,"4.1"" - 29.0""","0.12"" - 1.85""","Full Sun,  Part Shade",,," 32.9"" - 57.6"""," 60.5"" - 83.6""",,"0.93"" - 35.19""","-295"" - 6917""",,,,52,https://inaturalist-open-data.s3.amazonaws.com/photos/203338/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Atriplex-argentea-(Silver-Saltweed)?srchcr=sc61ab02a7440fe"
Sidalcea neomexicana,,Perennial herb,1.5 - 3 ft tall,,"3.8"" - 32.5""","0.19"" - 1.89""",Full Sun,,Prefers loamy or clay soils.  Grows poorly in sandy soils.," 33.0"" - 56.1"""," 65.1"" - 82.7""",,"1.17"" - 34.62""","9"" - 6190""",Bird Gardens,"Purple,  Pink",,172,https://inaturalist-open-data.s3.amazonaws.com/photos/265360/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Sidalcea-neomexicana-(Salt-Spring-Checkerbloom)?srchcr=sc61ab02a7440fe"
Persicaria punctata,Botanical Names: Polygonum punctatumCommon Names: Dotted Smartweed,Perennial herb,0.49 - 3.3 ft tall,,"2.8"" - 68.2""","0.15"" - 2.03""",Full Sun,,," 32.7"" - 58.4"""," 57.1"" - 88.0""",,"0.01"" - 38.77""","-253"" - 6797""",Bogs and Ponds,White,,3178,https://inaturalist-open-data.s3.amazonaws.com/photos/79960372/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Persicaria-punctata-(Water-Smartweed)?srchcr=sc61ab02a7440fe"
Calystegia macrostegia ssp. macrostegia,"Common Names: Island False Bindweed, Island Morning-glory, Island Morningglory","Perennial herb, Shrub, Vine",,"['USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)']","8.2"" - 52.0""","0.14"" - 1.89""",Full Sun,,," 34.9"" - 57.6"""," 59.6"" - 79.5""",,"0.85"" - 27.74""","-23"" - 6217""",Bee Gardens,,Moderately Easy,5554,https://inaturalist-open-data.s3.amazonaws.com/photos/3195315/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Calystegia-macrostegia-ssp.-macrostegia-(Island-Morning-Glory)?srchcr=sc61ab02a7440fe"
Atriplex lentiformis ssp. lentiformis,,Shrub,10 ft tall,,"2.5"" - 23.8""","0.15"" - 1.32""",Full Sun,,," 42.4"" - 60.7"""," 66.3"" - 89.5""",,"1.00"" - 43.14""","-224"" - 3706""",Hedges,"Green,  Cream",Moderately Easy,2781,https://inaturalist-open-data.s3.amazonaws.com/photos/1109549/small.JPG,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Atriplex-lentiformis-ssp.-lentiformis-(Big-Saltbush)?srchcr=sc61ab02a7440fe"
Alisma triviale,"Botanical Names: Alisma plantago-aquaticaCommon Names: American Waterplantain, Northern Water Plantain",Perennial herb,1 ft tall,,"3.3"" - 74.7""","0.17"" - 2.01""","Full Sun, Part Shade",,," 27.5"" - 56.1"""," 56.8"" - 83.4""",,"0.04"" - 35.15""","2"" - 7693""","Bogs and Ponds, Butterfly Gardens",,,1789,https://inaturalist-open-data.s3.amazonaws.com/photos/4590423/small.jpeg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Alisma-triviale-(Water-Plantain)?srchcr=sc61ab02a7440fe"
Verbena lasiostachys var. lasiostachys,,Perennial herb,2.6 ft tall,,"8.0"" - 77.3""","0.14"" - 2.36""",Full Sun,,," 26.0"" - 56.4"""," 51.0"" - 80.6""",,"0.09"" - 27.91""","-253"" - 8643""","Hummingbird Gardens, Bird Gardens, Bee Gardens",Pink,,2871,https://inaturalist-open-data.s3.amazonaws.com/photos/5355/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Verbena-lasiostachys-var.-lasiostachys-(Western-Vervain)?srchcr=sc61ab02a7440fe"
Brodiaea terrestris,Common Names: Dwarf Clusterlily,Perennial herb,8.4 in tall,"['USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)']","4.3"" - 117.2""","0.15"" - 2.72""","Full Sun,  Part Shade",,," 33.5"" - 55.8"""," 57.1"" - 87.0""",,"0.03"" - 36.93""","12"" - 7419""",Butterfly Gardens,"Blue,  Lavender,  Purple",Moderately Easy,1171,https://inaturalist-open-data.s3.amazonaws.com/photos/11764/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Brodiaea-terrestris-(Dwarf-Brodiaea)?srchcr=sc61ab02a7440fe"
Stachys ajugoides,Botanical Names: Stachys ajugoides var. ajugoidesCommon Names: Bugle Hedgenettle,Perennial herb,0.33 - 1 ft tall,,"4.8"" - 125.9""","0.16"" - 4.23""",Full Sun,,," 27.8"" - 58.8"""," 47.3"" - 87.5""",,"0.01"" - 38.31""","-23"" - 8910""","Hummingbird Gardens, Bird Gardens, Bee Gardens",Pink,,433,https://inaturalist-open-data.s3.amazonaws.com/photos/3447128/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Stachys-ajugoides-(Ajuga-Hedge-Nettle)?srchcr=sc61ab02a7440fe"
Eriophyllum confertiflorum var. confertiflorum,"Common Names: Goldenhills, White Brittlebush","Annual herb, Perennial herb, Shrub",2.3 ft tall,"['USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)', 'USDA Zone 11: above 4.5 °C (40 °F)']","5.7"" - 119.3""","0.14"" - 4.07""",Full Sun,,," 19.6"" - 57.3"""," 41.1"" - 86.3""",,"0.42"" - 37.96""","0"" - 11398""",Bee Gardens,Yellow,,8672,https://inaturalist-open-data.s3.amazonaws.com/photos/3067259/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Eriophyllum-confertiflorum-var.-confertiflorum-(Yellow-Yarrow)?srchcr=sc61ab02a7440fe"
Sparganium eurycarpum var. greenei,"Botanical Names: Sparganium erectum ssp. stoloniferumCommon Names: Branched Burreed, Exotic Bur-reed, Simplestem Bur-reed",Perennial herb,3.3 ft tall,,"11.5"" - 68.2""","0.19"" - 2.03""",Full Sun,,," 32.0"" - 56.4"""," 57.1"" - 80.6""",,"0.16"" - 27.37""","-3"" - 8590""",,,,1944,https://inaturalist-open-data.s3.amazonaws.com/photos/120927/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Sparganium-eurycarpum-var.-greenei-(Simplestem-Bur-Reed)?srchcr=sc61ab02a7440fe"
Salix exigua var. hindsiana,Botanical Names: Salix hindsiana,"Tree, Shrub",16.4 ft tall,,"3.9"" - 95.1""","0.14"" - 3.39""",Part Shade,,," 26.3"" - 58.0"""," 50.7"" - 87.2""",,"0.09"" - 38.85""","-13"" - 9914""","Bogs and Ponds, Bird Gardens, Butterfly Gardens, Bee Gardens","Cream,  Yellow",Moderately Easy,5361,https://inaturalist-open-data.s3.amazonaws.com/photos/440710/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Salix-exigua-var.-hindsiana-(Sandbar-Willow)?srchcr=sc61ab02a7440fe"
Atriplex argentea var. expansa,Botanical Names: Atriplex argentea var. mohavensisCommon Names: Silverscale Saltbush,Annual herb,0.49 - 2.6 ft tall,,"5.2"" - 29.0""","0.12"" - 1.84""",Full Sun,,," 33.3"" - 57.6"""," 61.0"" - 80.9""",,"0.93"" - 32.04""","-7"" - 6770""",,,,52,https://inaturalist-open-data.s3.amazonaws.com/photos/203338/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Atriplex-argentea-var.-expansa-(Silverscale)?srchcr=sc61ab02a7440fe"
Amsinckia menziesii,"Common Names: Common Fiddleneck, Small-flower Fiddleneck, Smallflower Fiddleneck",Annual herb,0.7 - 3.9 ft tall,,"2.9"" - 96.8""","0.13"" - 3.60""",Full Sun,,," 28.0"" - 63.2"""," 54.3"" - 88.2""",,"0.36"" - 40.81""","-162"" - 7887""",,Yellow,Moderately Easy,7209,https://inaturalist-open-data.s3.amazonaws.com/photos/62837069/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Amsinckia-menziesii-(Menzies\'-Fiddleneck)?srchcr=sc61ab02a7440fe"
Pseudognaphalium stramineum,"Common Names: Annual Cudweed, Cotton Cudweed, Cottonbatting Cudweed, Cottonbatting Plant",Perennial herb,2.3 ft tall,,"2.5"" - 84.7""","0.15"" - 2.72""",Part Shade,,," 26.2"" - 60.0"""," 51.2"" - 88.4""",,"0.24"" - 40.56""","-228"" - 8369""",Butterfly Gardens,"Cream,  White",,1444,https://inaturalist-open-data.s3.amazonaws.com/photos/22769662/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Pseudognaphalium-stramineum-(Chilean-Cudweed)?srchcr=sc61ab02a7440fe"
Frangula californica ssp. californica,Botanical Names: Rhamnus californica ssp. californica,Shrub,5 - 16 ft tall,,"7.6"" - 156.3""","0.14"" - 5.90""","Full Sun,  Part Shade",,Prefers sandy or loamy soils.  Does not grow well in clay soils.," 33.2"" - 56.0"""," 53.6"" - 80.1""",,"0.03"" - 26.57""","-261"" - 7945""","Bank Stabilization, Hedges, Bird Gardens, Bee Gardens",Green,,8921,https://inaturalist-open-data.s3.amazonaws.com/photos/47390634/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Frangula-californica-ssp.-californica-(California-Coffeeberry)?srchcr=sc61ab02a7440fe"
Euphorbia albomarginata,"Common Names: Rattlesnake Weed, Whitemargin Eupatorium, Whitemargin Euphorbia, Whitemargin Sandmat, Whitemargin Spurge","Perennial herb, Succulent",0.48 in tall,,"2.5"" - 28.9""","0.18"" - 2.71""",,,," 33.4"" - 59.8"""," 61.7"" - 89.5""",,"1.24"" - 47.01""","7"" - 7736""",,White,,2464,https://inaturalist-open-data.s3.amazonaws.com/photos/3213000/small.jpeg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Euphorbia-albomarginata-(Rattlesnake-Sandmat)?srchcr=sc61ab02a7440fe"
Pluchea odorata var. odorata,,"Perennial herb, Annual herb",4.9 ft tall,,"2.6"" - 26.4""","0.15"" - 1.73""",,,Prefers loamy or clay soils.  Grows poorly in sandy soils.," 36.8"" - 60.1"""," 64.0"" - 89.1""",,"1.12"" - 41.57""","-224"" - 4768""",,Purple,,5963,https://inaturalist-open-data.s3.amazonaws.com/photos/10633668/small.jpeg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Pluchea-odorata-var.-odorata-(Saltmarsh-fleabane)?srchcr=sc61ab02a7440fe"
Erigeron philadelphicus,"Common Names: Common Fleabane, Daisy Fleabane, Frost-root, Marsh Fleabane","Annual herb, Perennial herb",1.6 - 8.2 ft tall,"['USDA Zone 3a:  to -39.9 °C (-40 °F)', 'USDA Zone 3b: to -37.2 °C (-35 °F)', 'USDA Zone 4a: to -34.4 °C (-30 °F)', 'USDA Zone 4b: to -31.6 °C (-25 °F)', 'USDA Zone 5a: to -28.8 °C (-20 °F)', 'USDA Zone 6a: to -23.3 °C (-10 °F)', 'USDA Zone 6b: to -20.5 °C (-5 °F)', 'USDA Zone 7a: to -17.7 °C (0 °F)', 'USDA Zone 7b: to -14.9 °C (5 °F)', 'USDA Zone 8a: to -12.2 °C (10 °F)', 'USDA Zone 8b: to -9.4 °C (15 °F)', 'USDA Zone 9a: to -6.6 °C (20 °F)', 'USDA Zone 9b: to -3.8 °C (25 °F)', 'USDA Zone 10a: to -1.1 °C (30 °F)', 'USDA Zone 10b: to 1.7 °C (35 °F)']","2.0"" - 133.0""","0.16"" - 4.62""",,,Prefers loamy or clay soils.  Grows poorly in sandy soils.," 29.3"" - 60.9"""," 53.1"" - 88.9""",,"0.14"" - 47.23""","-74"" - 6834""",Bee Gardens,"White,  Yellow",,18641,https://inaturalist-open-data.s3.amazonaws.com/photos/13932511/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Erigeron-philadelphicus-(Philadelphia-Fleabane)?srchcr=sc61ab02a7440fe"
Sesuvium verrucosum,"Common Names: Sea Purslane, Verrucose Sea-purslane, Verrucose Seapurslane, Western Seapurslane",Perennial herb,,,"2.2"" - 24.0""","0.15"" - 1.89""",,,," 35.2"" - 61.1"""," 65.2"" - 90.6""",,"0.76"" - 48.87""","-234"" - 4199""",,"Pink,  Orange,  Red",,658,https://inaturalist-open-data.s3.amazonaws.com/photos/477521/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Sesuvium-verrucosum-(Western-Sea-purslane)?srchcr=sc61ab02a7440fe"
Deschampsia danthonioides,Common Names: Annual Hairgrass,Grasses,1.3 - 2 ft tall,,"5.8"" - 128.1""","0.14"" - 4.29""",,,"Adaptable, tolerant of sand, loam and clay"," 20.9"" - 56.1"""," 41.6"" - 80.9""",,"0.04"" - 31.53""","-7"" - 13187""",,Yellow,,89,https://inaturalist-open-data.s3.amazonaws.com/photos/12849/small.jpg,"https://calscape.org/loc-33.9433,-118.1883 (90280)/Deschampsia-danthonioides-(Annual-Hair-Grass)?srchcr=sc61ab02a7440fe"
